Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,21909.000000,21911.000000,21764.000000,21838.000000,21838.000000,394095500
2019-07-29,21784.000000,21865.000000,21709.000000,21709.000000,21709.000000,299188000
2019-07-30,21695.000000,21695.000000,21235.000000,21278.000000,21278.000000,469200300
2019-07-31,21300.000000,21422.000000,21265.000000,21398.000000,21398.000000,369458500
2019-08-01,21307.000000,21606.000000,21303.000000,21567.000000,21567.000000,361628700
2019-08-02,21155.000000,21303.000000,21039.000000,21047.000000,21047.000000,463156900
2019-08-05,20880.000000,20964.000000,20688.000000,20773.000000,20773.000000,414502000
2019-08-06,20814.000000,20915.000000,20632.000000,20632.000000,20632.000000,312209800
2019-08-07,20669.000000,20810.000000,20407.000000,20539.000000,20539.000000,458261200
2019-08-08,20737.000000,20841.000000,20598.000000,20841.000000,20841.000000,345985900
2019-08-09,20505.000000,20584.000000,20296.000000,20324.000000,20324.000000,621898600
2019-08-12,20446.000000,20560.000000,20243.000000,20264.000000,20264.000000,328344800
2019-08-13,20191.000000,20597.000000,20067.000000,20539.000000,20539.000000,506203600
2019-08-14,20525.000000,20525.000000,19936.000000,20020.000000,20020.000000,450629900
2019-08-16,20083.000000,20348.000000,20010.000000,20323.000000,20323.000000,539327500
2019-08-19,20506.000000,20730.000000,20472.000000,20715.000000,20715.000000,354908200
2019-08-20,20673.000000,20718.000000,20452.000000,20485.000000,20485.000000,323170700
2019-08-21,20563.000000,20911.000000,20562.000000,20847.000000,20847.000000,308790900
2019-08-22,20793.000000,21044.000000,20768.000000,20817.000000,20817.000000,342319300
2019-08-23,20963.000000,20965.000000,20474.000000,20474.000000,20474.000000,399795800
2019-08-26,20482.000000,20721.000000,20367.000000,20677.000000,20677.000000,304979300
2019-08-27,20733.000000,21061.000000,20664.000000,20991.000000,20991.000000,396647200
2019-08-28,20983.000000,21013.000000,20831.000000,20991.000000,20991.000000,360705000
2019-08-29,21020.000000,21441.000000,20973.000000,21398.000000,21398.000000,523182500
2019-08-30,21400.000000,21559.000000,21255.000000,21323.000000,21323.000000,402872700
2019-09-02,21390.000000,21567.000000,21389.000000,21452.000000,21452.000000,227807500
2019-09-03,21438.000000,21497.000000,21311.000000,21399.000000,21399.000000,283939100
2019-09-04,21665.000000,21777.000000,21630.000000,21738.000000,21738.000000,408310000
2019-09-05,21853.000000,21955.000000,21796.000000,21955.000000,21955.000000,444458900
2019-09-06,21967.000000,22010.000000,21857.000000,21947.000000,21947.000000,396569400
2019-09-09,22008.000000,22041.000000,21935.000000,21990.000000,21990.000000,358176500
2019-09-10,21964.000000,21989.000000,21824.000000,21869.000000,21869.000000,465833900
2019-09-11,21994.000000,22033.000000,21796.000000,21892.000000,21892.000000,520578100
2019-09-12,21983.000000,22141.000000,21835.000000,22083.000000,22083.000000,576922200
2019-09-13,22127.000000,22230.000000,22076.000000,22181.000000,22181.000000,489149200
2019-09-16,22125.000000,22139.000000,21898.000000,21969.000000,21969.000000,433352100
2019-09-17,21964.000000,21989.000000,21783.000000,21802.000000,21802.000000,402607500
2019-09-18,21787.000000,22009.000000,21774.000000,21948.000000,21948.000000,323308900
2019-09-19,21965.000000,22160.000000,21930.000000,22128.000000,22128.000000,409468500
2019-09-20,22191.000000,22283.000000,22112.000000,22123.000000,22123.000000,639677700
2019-09-23,22088.000000,22111.000000,21831.000000,21900.000000,21900.000000,369579300
2019-09-24,21955.000000,21994.000000,21885.000000,21901.000000,21901.000000,329448400
2019-09-25,21796.000000,21806.000000,21492.000000,21788.000000,21788.000000,383403300
